SIMSCI TRISIM 2.2,Windows Server 2003 Enterprise SP2 x64
Citect SCADA V7.20,Windows Server 2003 Standard SP2
Citect Historian 2016,Windows Server 2008 Enterprise
Citect Historian 2016,Windows Server 2008 Enterprise x64
Citect Anywhere V1.0,Windows Server 2008 Enterprise x64
Citect Historian 2016,Windows Server 2008 R2 Enterprise
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Enterprise
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Enterprise
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Enterprise x64
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Enterprise x64
Citect Historian 2016,Windows Server 2008 R2 Enterprise x64
Citect Historian 2016,Windows Server 2008 Enterprise SP1
SIMSCI DYNSIM 5.3.2,Windows Server 2008 Enterprise SP1
SIMSCI DYNSIM 5.1,Windows Server 2008 Enterprise SP1
SIMSCI DYNSIM 5.3,Windows Server 2008 Enterprise SP1
SIMSCI DYNSIM 5.3.1,Windows Server 2008 Enterprise SP1
SIMSCI DYNSIM 5.3.1,Windows Server 2008 Enterprise SP1 x64
SIMSCI DYNSIM 5.3,Windows Server 2008 Enterprise SP1 x64
SIMSCI DYNSIM 5.1,Windows Server 2008 Enterprise SP1 x64
SIMSCI DYNSIM 5.3.2,Windows Server 2008 Enterprise SP1 x64
Citect Historian 2016,Windows Server 2008 Enterprise SP1 x64
Citect Historian 2016,Windows Server 2008 Enterprise SP2
Citect Historian 2016,Windows Server 2008 Enterprise SP2 x64
Citect Historian 2016,Windows Server 2008 Standard
Citect Historian 2016,Windows Server 2008 Standard x64
Citect Historian 2016,Windows Server 2008 R2 Standard
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Standard
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Standard
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Standard x64
Avantis PRiSM Client 2018 R1,Windows Server 2008 R2 Standard x64
Citect Historian 2016,Windows Server 2008 R2 Standard x64
Citect Historian 2016,Windows Server 2008 Standard SP1 x64
Citect Historian 2016,Windows Server 2008 Standard SP1
Citect Historian 2016,Windows Server 2008 Standard SP2
Citect Historian 2016,Windows Server 2008 Standard SP2 x64
Citect Historian 2016,Windows Server 2012 Data Center x64
Avantis PRiSM Client 2018 R1,Windows Server 2012 Data Center x64
Avantis PRiSM Server 2018 R1,Windows Server 2012 Data Center x64
Wonderware InTouch Access Anywhere 2017 Update 2b,Windows Server 2012 Data Center x64
Wonderware OPC UA Client 2014 P01,Windows Server 2012 Data Center x64
Wonderware Batch Management  2017,Windows Server 2012 Data Center x64
Wonderware Insight Publisher 4.0,Windows Server 2012 Data Center x64
Wonderware Insight Publisher 4.0,Windows Server 2012 R2 Data Center x64
Wonderware Batch Management  2017,Windows Server 2012 R2 Data Center x64
Wonderware OPC UA Client 2014 P01,Windows Server 2012 R2 Data Center x64
Avantis PRiSM Server 2018 R1,Windows Server 2012 R2 Data Center x64
Avantis PRiSM Client 2018 R1,Windows Server 2012 R2 Data Center x64
Wonderware InTouch Access Anywhere 2017 Update 2b,Windows Server 2012 R2 Data Center x64
Citect Historian 2016,Windows Server 2012 R2 Data Center x64
Citect Historian 2016,Windows Server 2012 R2 Standard x64
Citect SCADA 2016,Windows Server 2012 R2 Standard x64
SIMSCI DYNSIM 5.3.2,Windows Server 2012 R2 Standard x64
SIMSCI TRISIM 3.1,Windows Server 2012 R2 Standard x64
SIMSCI DYNSIM 5.2.1,Windows Server 2012 R2 Standard x64
SIMSCI DYNSIM 5.3,Windows Server 2012 R2 Standard x64
SIMSCI DYNSIM 5.3.1,Windows Server 2012 R2 Standard x64
Avantis PRiSM Client 2018 R1,Windows Server 2012 R2 Standard x64
Avantis PRiSM Server 2018 R1,Windows Server 2012 R2 Standard x64
Industry Software Suites Label Assurance 1.0 x64,Windows Server 2012 R2 Standard x64
Industry Software Suites Performance Manager 2.3 x64,Windows Server 2012 R2 Standard x64
Wonderware Prometheus 2017 Update 1 x64,Windows Server 2012 R2 Standard x64
Wonderware InTouch Access Anywhere 2017 Update 2b,Windows Server 2012 R2 Standard x64
Industry Software Suites Life Sciences Site Serialization 1.1 x64,Windows Server 2012 R2 Standard x64
Industry Software Suites Performance Manager 2.1 x64,Windows Server 2012 R2 Standard x64
Industry Software Suites Energy Performance 1.0 x64,Windows Server 2012 R2 Standard x64
Citect SCADA 2018,Windows Server 2012 R2 Standard x64
Ampla Operations Management 2018 R1,Windows Server 2012 R2 Standard x64
Wonderware OPC UA Client 2014 P01,Windows Server 2012 R2 Standard x64
Wonderware Batch Management  2017,Windows Server 2012 R2 Standard x64
Ampla Operations Management 2018 R1 x64,Windows Server 2012 R2 Standard x64
Industry Software Suites Performance Manager 2.4 x64,Windows Server 2012 R2 Standard x64
Citect SCADA 2018 R2,Windows Server 2012 R2 Standard x64
Ampla Operations Management 2018 R2,Windows Server 2012 R2 Standard x64
Ampla Operations Management 2018 R2 x64,Windows Server 2012 R2 Standard x64
Ampla Operations Management 2018 R2 x64,Windows Server 2012 Standard x64
Wonderware Insight Publisher 4.0,Windows Server 2012 R2 Standard x64
Ampla Operations Management 2018 R2,Windows Server 2012 Standard x64
Ampla Operations Management 2018 R1 x64,Windows Server 2012 Standard x64
Wonderware OPC UA Client 2014 P01,Windows Server 2012 Standard x64
Ampla Operations Management 2018 R1,Windows Server 2012 Standard x64
